Species,Family,Sitename,Continent,Site_No,Cont_No,Species_No,Vcmax,Jmax,Rd,Vcmax_SE,Jmax_SE,Rd_SE,Photo,Tleaf,CO2S,PARi,LMA,Perc_N,Perc_P,Narea,Parea,Photomass,Jmaxmass,Vcmaxmass,Nmass,Pmass,NPratio,Plim_status
Aspidosperma desmanthum,Apocynaceae,Allpahuayo_40,S_Amer,3,41,5,41.1,113.6,1.1,1.1,1.7,0.27,10.1,28.9,388,1800,199.4,1.09,0.093,2.18,0.19,50.4,569.7,206.3,10.92,0.93,11.7,Mod. P
Brosimum potabile,Moraceae,Allpahuayo_40,S_Amer,3,57,56,22.2,71.3,1.45,0.6,1.8,0.25,5.6,29.3,393,1800,158.1,1.62,0.086,2.57,0.14,35.1,451.1,140.6,16.24,0.86,18.9,Low P
Calyptranthes bipennis,Myrtaceae,Allpahuayo_40,S_Amer,3,70,59,20.3,52.8,0.79,0.9,1.2,0.22,5,30.2,394,1800,154.1,0.85,0.034,1.31,0.05,32.3,343,131.5,8.51,0.34,25,Low P
Chrysophyllum sanguinolentum,Sapotaceae,Allpahuayo_40,S_Amer,3,95,77,56.9,99.2,-0.81,1.6,1.4,0.23,15.9,29.4,380,1799,202.1,0.93,0.051,1.88,0.1,78.8,491.1,281.6,9.29,0.51,18.2,Low P
Cybianthus nestorii,Primulaceae,Allpahuayo_40,S_Amer,3,131,69,36.7,90.1,-0.34,1.3,2.1,0.31,10.4,30.4,387,1799,199.5,0.82,0.044,1.64,0.09,52.1,451.6,183.9,8.22,0.44,18.7,Low P
Diplotropis sp.,Fabaceae,Allpahuayo_40,S_Amer,3,138,36,45.1,122.9,-0.11,1.1,1.9,0.29,14.7,29.3,382,1801,112.8,1.44,0.073,1.63,0.08,130.7,1089.1,400,14.42,0.73,19.8,Low P
Guatteria decurrens,Annonaceae,Allpahuayo_40,S_Amer,3,201,3,23.7,62.7,0.82,1.1,1.6,0.33,6.7,28.6,392,1800,141.5,0.84,0.036,1.19,0.05,47.3,443.1,167.8,8.4,0.36,23.3,Low P
Humiria balsamifera,Humiriaceae,Allpahuayo_40,S_Amer,3,218,40,26.2,66.3,0.51,0.9,1.3,0.23,7.6,28.3,390,1799,139.7,0.8,0.085,1.12,0.12,54.2,474.8,187.3,7.99,0.85,9.4,Low P
Jacqueshuberia loretensis,Fabaceae,Allpahuayo_40,S_Amer,3,232,36,42.3,86.2,0.29,1,1.1,0.2,11.2,29.8,387,1800,75,2.17,0.102,1.63,0.08,149.3,1150,564.1,21.67,1.02,21.2,Mod. P
Licania unguiculata,Chrysobalanaceae,Allpahuayo_40,S_Amer,3,249,23,28.7,75.9,0.57,2.7,4.2,0.79,11.1,28.1,385,1800,139.5,1.61,0.126,2.25,0.18,79.4,544.4,205.8,16.14,1.26,12.8,Mod. P
Ocotea aciphylla,Lauraceae,Allpahuayo_40,S_Amer,3,304,44,32.1,64.9,0.49,0.9,1,0.19,8.8,28.8,390,1799,198.9,0.88,0.032,1.75,0.06,44,326.2,161.4,8.82,0.32,27.6,Low P
Roucheria schomburgkii,Linaceae,Allpahuayo_40,S_Amer,3,380,48,29.5,73,1.81,1.2,1.8,0.34,6.7,28.9,391,1800,99.1,1,0.043,0.99,0.04,67.3,736.3,298.1,10,0.43,23.3,Low P
Simarouba amara,Simaroubaceae,Allpahuayo_40,S_Amer,3,396,78,36.8,83.4,1.41,1.5,1.9,0.31,8.6,29.6,389,1800,181.7,1.03,0.051,1.88,0.09,47.2,459.2,202.7,10.32,0.51,20.2,Low P
Sloanea robusta,Elaeocarpaceae,Allpahuayo_40,S_Amer,3,401,33,31.6,71,0.92,1.9,2,0.36,6.9,31.1,392,1800,173.5,0.67,0.053,1.16,0.09,40,409.4,182.3,6.7,0.53,12.6,Low P
Tachigali bracteosa,Fabaceae,Allpahuayo_40,S_Amer,3,427,36,35.3,102.5,2.94,1.8,3.5,0.56,6.3,29.6,393,1801,150.8,1.64,0.098,2.48,0.15,41.4,680,234,16.42,0.98,16.8,Mod. P
Tapirira guianensis,Anacardiaceae,Allpahuayo_40,S_Amer,3,430,2,23.2,52.2,0.87,0.9,1.1,0.21,6.5,28.3,391,1800,61.5,1.55,0.092,0.95,0.06,105.9,849.3,376.5,15.48,0.92,16.8,Mod. P
unidentified,NA,Allpahuayo_40,S_Amer,3,456,NA,35.7,66,1.58,1.7,1.4,0.27,6.4,31.4,392,1800,178.3,1.03,0.094,1.82,0.17,36.1,370,200.2,10.26,0.94,10.9,Mod. P
Virola pavonis,Myristicaceae,Allpahuayo_40,S_Amer,3,460,58,45.8,73.7,1.17,3.4,2.4,0.49,10.5,30.1,387,1799,166.85,1.04,0.053,1.78,0.09,62.9,441.9,274.3,10.37,0.53,19.8,Low P
Corynanthe pachyceras,Rubiaceae,Asukese,Africa,5,124,73,22.4,50.7,0.23,1.3,1.8,0.32,6.5,31.9,392,1999,72.1,2.47,0.089,1.78,0.06,90.6,703.6,311.4,24.67,0.89,27.7,Low P
Hymenostegia afzelii,Fabaceae,Asukese,Africa,5,221,36,16.9,38.4,0.61,0.4,0.5,0.09,4.5,29.7,394,2000,50.6,3.19,0.156,1.62,0.08,89.3,758.6,333.5,31.89,1.56,20.4,Mod. P
Nesogordonia papaverifera,Malvaceae,Asukese,Africa,5,301,51,22.4,47,0.19,1.3,1.7,0.3,6.9,28.7,391,2000,57.2,2.94,0.144,1.68,0.08,120.4,821.2,391.7,29.38,1.44,20.4,Mod. P
Triplochiton scleroxylon,Malvaceae,Asukese,Africa,5,450,51,45.1,87.4,0.25,1.3,1.5,0.25,11.9,30.1,385,2000,72.45,3.21,0.175,2.32,0.13,163.7,1207,622.7,32.05,1.75,18.3,Mod. P
Acacia gourmaensis,Fabaceae,Bissiga,Africa,6,3,36,68.1,130.8,0.24,7.1,6.2,0.96,20,35.1,378,2000,71.2125,2.61,0.154,1.87,0.11,280.5,1836.9,956.7,26.13,1.54,17,Mod. P
Anogeissus leiocarpa,Combretaceae,Bissiga,Africa,6,34,26,51.2,101.7,0.43,3.1,3.1,0.48,12.9,34.1,383,2000,64.15294118,2.05,0.149,1.33,0.09,201,1586.1,798.7,20.49,1.49,13.7,Mod. P
Combretum glutinosum,Combretaceae,Bissiga,Africa,6,113,26,75.1,135.8,0.13,6.6,5.1,0.78,19.2,34,374,2000,130.64,1.81,0.12,2.36,0.16,147.2,1039.8,575.1,18.09,1.2,15.1,Mod. P
Combretum micranthum,Combretaceae,Bissiga,Africa,6,115,26,61.3,118.2,0.03,5,4.1,0.63,14.6,33.6,381,2000,73.55,2.74,0.151,2.04,0.11,198.3,1606.5,833.8,27.38,1.51,18.1,Mod. P
Lannea acida,Anacardiaceae,Bissiga,Africa,6,238,2,56.3,128.2,-0.04,2.8,3.7,0.57,17.3,34.9,376,2000,107.0833333,1.76,0.1,1.88,0.11,161.6,1197.3,525.7,17.64,1,17.7,Mod. P
Senna obtusifolia,Fabaceae,Bissiga,Africa,6,391,36,67.7,136.6,-0.42,8.9,6.1,0.89,19.2,35.1,375,2000,54.18333333,2.71,0.188,1.45,0.1,355.1,2521.7,1249.1,27.15,1.88,14.5,Mod. P
Vitellaria paradoxa,Sapotaceae,Bissiga,Africa,6,464,77,70.7,157.4,-0.27,3.3,4.2,0.59,19.2,34.9,374,2000,131.9755556,1.81,0.091,2.36,0.12,145.6,1192.6,535.9,18.09,0.91,19.9,Low P
Adansonia digitata,Bombacaceae,Boabeng-Fiema,Africa,7,11,12,43,118.3,1.01,1.6,3.1,0.39,8.7,33.3,389,2000,67.625,2.19,0.253,1.49,0.17,128,1749.1,635.5,21.94,2.53,8.7,Mod. P
Aidia genipiflora,Rubiaceae,Boabeng-Fiema,Africa,7,13,73,53.4,148.2,0.07,2.4,4.5,0.6,16.5,33.4,378,2001,98.3475,2.81,0.131,2.77,0.13,167.5,1507.4,542.8,28.13,1.31,21.5,Mod. P
Albizia adianthifolia,Fabaceae,Boabeng-Fiema,Africa,7,14,36,27.3,67.5,0.92,0.9,1.4,0.21,6.2,32.1,392,1999,79.65,3.01,0.113,2.4,0.09,78,848,342.7,30.15,1.13,26.7,Mod. P
Anogeissus leiocarpa,Combretaceae,Boabeng-Fiema,Africa,7,34,26,41.1,103.1,0.76,1.6,2.4,0.32,8.8,33.9,389,2000,67.5,2.11,0.186,1.38,0.12,130,1527.7,609.6,21.15,1.86,11.3,Mod. P
Antiaris toxicaria,Moraceae,Boabeng-Fiema,Africa,7,35,56,37.8,62.6,0.41,2.8,2.3,0.43,10.4,29.5,387,2001,104.67,2.4,0.101,2.51,0.11,98.9,598.2,361.3,24.01,1.01,23.9,Mod. P
Blighia sapida,Sapindaceae,Boabeng-Fiema,Africa,7,54,76,25.4,66.6,0.32,0.7,1.5,0.19,6.1,32,392,1500,79.7,2.43,0.127,1.93,0.1,76,835.4,319.2,24.26,1.27,19.1,Mod. P
Bombax brevicuspe,Malvaceae,Boabeng-Fiema,Africa,7,55,51,45.6,124.6,1.13,3.5,5.6,0.81,10.9,32,386,2000,153.2666667,1.43,0.091,2.19,0.14,70.8,812.8,297.4,14.34,0.91,15.8,Low P
Cola caricifolia,Malvaceae,Boabeng-Fiema,Africa,7,108,51,26.4,76.2,0.42,0.6,1.3,0.17,7.9,32.1,390,2000,64.95,3.17,0.199,2.06,0.13,120.9,1173.3,407.1,31.71,1.99,15.9,Mod. P
Cola gigantea,Malvaceae,Boabeng-Fiema,Africa,7,109,51,34.8,62.6,1.32,5.2,5.7,1.01,10.6,32.6,385,2001,116.16,1.97,0.155,2.28,0.18,91.3,539.2,299.5,19.65,1.55,12.7,Mod. P
Detarium senegalense,Fabaceae,Boabeng-Fiema,Africa,7,135,36,42,147.8,0.66,1.7,3.6,0.36,9.5,36.8,387,2000,136.47,1.76,0.102,2.41,0.14,69.8,1082.9,307.4,17.6,1.02,17.3,Mod. P
Diospyros piscatoria,Ebenaceae,Boabeng-Fiema,Africa,7,137,32,38.9,95.7,0.24,1.4,2.3,0.32,10.6,32.6,386,2000,94.35,2.95,0.157,2.78,0.15,112.2,1014.7,412.4,29.51,1.57,18.9,Mod. P
Ficus sp.,Moraceae,Boabeng-Fiema,Africa,7,184,56,41.5,78.5,-0.12,1.8,2,0.34,11.1,30.5,386,2000,86.7,1.81,0.11,1.56,0.09,127.8,905.4,478.2,18.13,1.1,16.6,Mod. P
Holarrhena floribunda,Apocynaceae,Boabeng-Fiema,Africa,7,216,5,42.8,97.3,0.61,1.6,2.3,0.36,11.9,31.5,384,2000,59.63333333,2.74,0.191,1.64,0.11,200.1,1631.8,717.8,27.35,1.91,14.3,Mod. P
Khaya grandifoliola,Meliaceae,Boabeng-Fiema,Africa,7,234,53,32,77.8,1.04,2.1,2.9,0.48,8,32.8,390,2000,86.26142857,2.09,0.128,1.8,0.11,92.4,901.5,370.5,20.93,1.28,16.3,Mod. P
Parinari congoensis,Chrysobalanaceae,Boabeng-Fiema,Africa,7,317,23,37.7,95.5,0.9,2,3.4,0.51,10.5,31.4,386,1999,115.29,1.69,0.118,1.94,0.14,91.2,828.3,327.1,16.93,1.18,14.4,Mod. P
Phyllanthus sp.,Phyllanthaceae,Boabeng-Fiema,Africa,7,323,67,36.3,93,0.47,0.9,1.4,0.22,10.6,35.3,385,2000,27.45,4.08,0.364,1.1,0.1,387.9,3389.1,1323.6,40.84,3.64,11.2,Mod. P
Pouteria alnifolia,Sapotaceae,Boabeng-Fiema,Africa,7,342,77,31.9,71.2,0.49,1.9,2.6,0.44,9.2,31.3,388,2000,65.13333333,2.38,0.097,1.54,0.06,140.9,1093.8,490.3,23.76,0.97,24.5,Mod. P
Pterocarpus erinaceus,Fabaceae,Boabeng-Fiema,Africa,7,368,36,26.3,55.2,0.28,4.4,3.2,0.42,5.5,35.4,392,2000,64.85,1.91,0.136,1.28,0.09,84.3,850.6,405.3,19.1,1.36,14,Mod. P
Pycnanthus angolensis,Myristicaceae,Boabeng-Fiema,Africa,7,371,58,38.2,81,0.59,1.3,1.7,0.28,9.5,32.5,388,2000,64.3,2.78,0.135,1.79,0.09,147,1259.2,593.5,27.76,1.35,20.6,Mod. P
Terminalia schimperiana,Combretaceae,Boabeng-Fiema,Africa,7,440,26,59.9,75.5,0.54,17.9,5.4,0.76,11.9,33.8,384,2000,135.29,1.79,0.138,2.42,0.19,87.6,557.7,442.4,17.88,1.38,13,Mod. P
Trilepisium madagascariense,Moraceae,Boabeng-Fiema,Africa,7,449,56,34.9,56.6,0.33,3.4,2.4,0.45,8,31.9,390,2000,66.78,2.19,0.184,1.44,0.12,119.4,847.8,522.4,21.94,1.84,11.9,Mod. P
Corymbia aparrerinja,Myrtaceae,Boulia_Qld,Australia,8,120,59,64.2,113.3,0.98,4.9,4.8,0.63,13.9,32,384,2000,226.1283333,0.92,0.078,2.07,0.18,61.2,500.8,283.7,9.17,0.78,11.8,Low P
Corymbia terminalis,Myrtaceae,Boulia_Qld,Australia,8,123,59,71.3,143.7,0.65,7.1,6.6,0.74,13.9,35.4,382,2000,279.336,0.62,0.059,1.74,0.16,49.8,514.4,255.2,6.16,0.59,10.4,Low P
Alseodaphne petiolaris,Lauraceae,Bubeng_China,Asia,9,22,44,57.3,88.3,0.43,6.1,4.3,0.75,12.7,25.1,402,1500,119.82,1.49,0.11,1.79,0.13,106,736.9,478.5,14.91,1.1,13.6,Mod. P
Byttneria aspera,Malvaceae,Bubeng_China,Asia,9,66,51,49.6,80.3,0.75,4.4,3.9,0.72,11.6,26.3,395,1500,105.3,2.14,0.097,2.25,0.1,110.2,762.6,470.7,21.4,0.97,22.1,Mod. P
Castanopsis echidocarpa,Fagaceae,Bubeng_China,Asia,9,78,37,63.3,88.4,-0.09,7.8,4.8,0.84,13.9,26,398,1500,119.3,1.94,0.108,2.31,0.13,116.5,740.7,530.4,19.37,1.08,17.9,Mod. P
Castanopsis hystrix,Fagaceae,Bubeng_China,Asia,9,79,37,65.5,128.8,0.92,1.1,1.7,0.2,13.4,26.1,398,1800,142.64,1.59,0.08,2.26,0.11,93.9,903,459.3,15.87,0.8,19.8,Low P
Castanopsis indica,Fagaceae,Bubeng_China,Asia,9,80,37,79.7,139,0.84,5.3,5,0.73,13.6,26.1,397,1500,163.68,1.88,0.08,3.08,0.13,83.1,849.2,486.8,18.8,0.8,23.5,Low P
Colona thorelii,Tiliaceae,Bubeng_China,Asia,9,111,81,71.1,146.2,1.03,2.8,3.6,0.53,16.2,25.6,399,1500,98.26,2.91,0.136,2.85,0.13,165.1,1487.7,723.8,29.07,1.36,21.4,Mod. P
Combretum latifolia,Combretaceae,Bubeng_China,Asia,9,114,26,36.4,65.1,0.8,2.1,2.9,0.45,10.7,26.1,399,1499,99.9,2.25,0.169,2.25,0.17,107.1,651.7,364.9,22.53,1.69,13.3,Mod. P
Duabanga grandiflora,Sonneratiaceae,Bubeng_China,Asia,9,142,79,98.5,171.2,0.31,6.3,7.5,0.97,19.9,28.5,400,1500,138.6333333,1.83,0.16,2.55,0.22,143.5,1234.6,710.5,18.35,1.6,11.5,Mod. P
Ficus drupacea,Moraceae,Bubeng_China,Asia,9,178,56,64.6,99.4,0.8,1.1,0.9,0.15,12.3,28,401,1499,101.6,1.95,0.196,1.98,0.2,121.1,978,635.4,19.46,1.96,9.9,Mod. P
Ficus lankokensis,Moraceae,Bubeng_China,Asia,9,181,56,53.5,87.4,0.22,1.6,1.5,0.27,13.1,28,400,1499,76.66666667,2.31,0.116,1.76,0.09,170.9,1140.6,697.2,23.06,1.16,19.9,Mod. P
Ficus sagitatta,Moraceae,Bubeng_China,Asia,9,182,56,54.9,94.2,0.33,3,2.9,0.52,13,28.1,400,1499,145.1333333,1.8,0.124,2.61,0.18,89.6,649,378.1,17.97,1.24,14.5,Mod. P
Fissistigma maclurei,Annonaceae,Bubeng_China,Asia,9,186,3,44.8,79.4,0.75,1.6,1.4,0.24,8.7,23.8,400,1499,91.615,2.06,0.105,1.91,0.1,95.3,866.3,489.4,20.62,1.05,19.6,Mod. P
Fissistigma polyanthum,Annonaceae,Bubeng_China,Asia,9,187,3,59.2,88.3,0.24,5,3.6,0.63,13.9,26.8,401,1500,104.9666667,1.93,0.099,2.01,0.1,132.4,841.5,563.5,19.25,0.99,19.5,Mod. P
Garcinia cowa,Clusiaceae,Bubeng_China,Asia,9,192,25,28.5,62.4,0.66,1.5,1.9,0.32,5.8,26.1,403,1500,123.4,1.77,0.09,2.19,0.11,46.8,505.8,231.1,17.73,0.9,19.7,Low P
Garuga pinnata,Burseraceae,Bubeng_China,Asia,9,193,15,45.9,79.5,1.02,3,2.8,0.5,10,28.9,400,1500,97.7,1.99,0.199,1.95,0.19,102.4,813.8,470.1,19.92,1.99,10,Mod. P
Parashorea chinensis,Dipterocarpacaeae,Bubeng_China,Asia,9,316,30,58.8,95.7,-0.01,3,2.5,0.39,9.5,26.1,402,1500,108.1333333,2.38,0.15,2.57,0.16,87.7,884.7,543.6,23.8,1.5,15.9,Mod. P
Pometia tomentosa,Sapindaceae,Bubeng_China,Asia,9,333,76,45.6,100.5,0.96,1.8,2.1,0.36,10.6,24.7,401,1650,115.185,1.89,0.128,2.18,0.15,92,872.3,396,18.91,1.28,14.8,Mod. P
Premna scandens,Verbenaceae,Bubeng_China,Asia,9,355,85,60.3,118.5,0.25,2.4,3,0.46,14.8,26.2,401,1500,119.6333333,2.04,0.093,2.43,0.11,123.7,990.1,504.4,20.36,0.93,22,Mod. P
Sargentodoxa cuneata,Lardizabalaceae,Bubeng_China,Asia,9,386,43,72.6,110,0.02,5.8,3.9,0.63,14.1,28.7,402,1499,86.46666667,1.98,0.112,1.71,0.1,163.1,1272.3,840.1,19.82,1.12,17.6,Mod. P
Semecarpus reticulata,Anacardiaceae,Bubeng_China,Asia,9,390,2,53.1,106.4,0.26,1.7,2,0.3,10.6,28.1,404,1500,140.8,1.48,0.116,2.09,0.16,75,755.5,377.2,14.8,1.16,12.8,Mod. P
Sloanea tomentosa,Elaeocarpaceaea,Bubeng_China,Asia,9,402,34,32.6,66.7,0.54,2.2,2.7,0.37,6.6,26.4,402,1500,139.9666667,1.27,0.075,1.77,0.11,47.4,476.4,232.7,12.66,0.75,16.8,Low P
Uncaria laevigata,Rubiaceae,Bubeng_China,Asia,9,454,73,56.3,91,0.39,3,2.8,0.49,16.8,26.3,402,1499,92.7,2.35,0.117,2.17,0.11,181.2,981.7,607,23.45,1.17,20,Mod. P
Uncaria macrophylla,Rubiaceae,Bubeng_China,Asia,9,455,73,74.2,107.9,-0.11,11.1,7.4,1.26,17.9,27.3,400,1500,116.0666667,1.77,0.106,2.05,0.12,154.5,929.4,639.6,17.66,1.06,16.6,Mod. P
Acmena graveolens,Myrtaceae,Cape Tribulation Crane,Australia,10,10,59,43.9,75.4,0.6,1,0.8,0.14,9.9,29.4,387,2000,94.877,1.75,0.117,1.66,0.11,104.7,794.2,462.9,17.54,1.17,15,Mod. P
Alstonia scholaris,Apocynaceae,Cape Tribulation Crane,Australia,10,23,5,53,82.3,2.18,10,6.7,0.92,11.5,29.2,385,1999,114.554,1.84,0.06,2.11,0.07,100.2,718.8,462.8,18.45,0.6,30.6,Low P
Argyrodendron perulatum,Malvaceae,Cape Tribulation Crane,Australia,10,39,51,62,127.9,1.47,3.9,4.8,0.6,13.6,30,388,1800,177.56,1.48,0.074,2.63,0.13,76.7,720.5,349.2,14.83,0.74,20,Low P
Castanospermum australe,Fabaceae,Cape Tribulation Crane,Australia,10,81,36,48.6,98.5,1.15,2.1,2.4,0.39,8.9,29.6,390,1899,114.579,2.4,0.114,2.75,0.13,77.9,859.9,424.4,23.99,1.14,21,Mod. P
Elaeocarpus angustifolius,Elaeocarpaceae,Cape Tribulation Crane,Australia,10,146,33,40.6,98.9,1.85,3.7,5.5,0.75,7.7,28.3,393,1933,110.2265,2.16,0.109,2.32,0.12,70,897.3,368.5,21.62,1.09,19.8,Mod. P
Emmenosperma cunninghamii,Rhamnaceae,Cape Tribulation Crane,Australia,10,148,71,62.7,94.1,0.32,6.8,3.8,0.74,16.3,29.6,380,1999,98.8745,1.89,0.024,1.87,0.02,164.3,952.1,633.7,18.93,0.24,78.5,Low P
Endiandra microneura,Lauraceae,Cape Tribulation Crane,Australia,10,149,44,44.2,79.1,0.41,2.6,2.3,0.41,10,30.3,397,1800,125.5875,1.74,0.09,2.19,0.11,79.4,630.2,351.7,17.42,0.9,19.4,Low P
Ganophyllum falcatum,Sapindaceae,Cape Tribulation Crane,Australia,10,191,76,42,117.4,1.8,1.1,1.9,0.28,10,27.7,387,2000,124.7935,2.05,0.074,2.56,0.09,80,941,336.8,20.51,0.74,27.8,Low P
Litsea leefeana,Lauraceae,Cape Tribulation Crane,Australia,10,255,44,44.6,78.1,1.06,4.1,3.4,0.67,9.4,30.2,397,1800,132.525,1.39,0.082,1.85,0.11,71,589.4,336.4,13.94,0.82,16.9,Low P
Myristica globosa,Myristicaceae,Cape Tribulation Crane,Australia,10,291,58,46.8,82.6,1.31,1.7,1.1,0.22,7.4,31.1,394,1801,111.17,2.02,0.157,2.24,0.17,66.4,742.9,420.6,20.19,1.57,12.9,Mod. P
Rockinghamia angustifolia,Euphorbiaceae,Cape Tribulation Crane,Australia,10,378,35,20.4,42.6,0.86,0.7,0.7,0.14,4.5,29.9,399,1800,60.96,1.56,0.06,0.95,0.04,73.5,698.5,334.8,15.56,0.6,25.8,Low P
Syzygium graveolens,Myrtaceae,Cape Tribulation Crane,Australia,10,421,59,42.5,82.8,1.15,2,2.2,0.39,8.9,30.1,396,1800,141.7135131,1.53,0.084,2.16,0.12,63.1,584.6,299.8,15.28,0.84,18.3,Low P
Syzygium sayeri,Myrtaceae,Cape Tribulation Crane,Australia,10,424,59,49.6,101.3,0.72,2.1,2.1,0.34,12.1,28.7,384,1933,124.0593333,1.52,0.06,1.88,0.07,97.4,816.5,399.7,15.18,0.6,25.4,Low P
Viticipremna queenslandica,Lamiaceae,Cape Tribulation Crane,Australia,10,466,42,60.8,164.4,2.07,3.8,6,0.86,14.1,27.2,382,2000,79.622,2.61,0.065,2.07,0.05,176.5,2064.2,763.6,26.07,0.65,40,Low P
Eschweilera coriacea,Lecythidaceae,Caxiuana,S_Amer,13,154,45,24,50.5,0.4,1,1.1,0.21,5.4,31.3,393,1999,95.835,2.02,0.108,2.01,0.09,56.3,527,250.6,20.18,1.08,18.6,Mod. P
Eschweilera grandiflora,Lecythidaceae,Caxiuana,S_Amer,13,155,45,29.3,66.6,0.34,0.9,1.1,0.2,6.5,31.3,392,2001,100.06,1.4,0.117,1.4,0.12,64.5,665.2,293,14.02,1.17,12,Mod. P
Licania membranacea,Chrysobalanaceae,Caxiuana,S_Amer,13,247,23,23.8,53,0.83,0.9,1.2,0.24,6.8,32.1,391,1999,230.51,1.39,0.059,3.19,0.14,29.6,229.7,103.3,13.85,0.59,23.6,Low P
Manilkara bidentata ssp. amazonica,Sapotaceae,Caxiuana,S_Amer,13,266,77,34.9,65.2,0.85,1.9,2.6,0.34,6.4,32.7,392,1999,145.33,1.51,0.067,2.19,0.1,44,448.7,240.1,15.08,0.67,22.4,Low P
Pouteria anomala,Sapotaceae,Caxiuana,S_Amer,13,343,77,22.1,52,0.56,1.1,1.8,0.3,5.6,31.3,392,2000,92.09,1.95,0.079,1.9,0.08,61.1,564.3,239.7,19.53,0.79,24.8,Low P
Protium tenuifolium,Burseraceae,Caxiuana,S_Amer,13,361,15,31.7,56,0.36,0.8,0.8,0.14,7.7,30.9,390,2000,95.36666667,1.51,0.087,1.45,0.08,81,587,332.5,15.14,0.87,17.5,Low P
Swartzia racemosa,Fabaceae,Caxiuana,S_Amer,13,416,36,42.7,73.5,0.31,4,3.9,0.69,9.3,31.7,388,1999,125.8033333,2.78,0.053,3.46,0.07,74.2,584.6,339.5,27.8,0.53,52.4,Low P
